Role,Required_Skills,Preferred_Skills,Minimum_CGPA,Experience_Level,Certifications,Recommended_Projects,ATS_Keywords,Resume_Tips,Industry,Tools_Frameworks,Soft_Skills,Salary_Range,Career_Path
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Intermediate,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
QA Engineer,"MongoDB,Kubernetes,TensorFlow,Power BI","C++,AWS",8.1,Beginner,Just Certification,Aeronautical engineer,"Excel,React,Git",Improve projects and quantify achievements,Technology,"Linux,SQL","Creativity,Adaptability",11-20 LPA,Planning and development surveyor
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Advanced,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
Prompt Engineer,"Java,C++,Excel,Git","Power BI,AWS",6.6,Beginner,Push Certification,Printmaker,"AWS,Node.js,Excel",Improve projects and quantify achievements,Healthcare,"TensorFlow,Excel","Problem Solving,Teamwork",12-22 LPA,Private music teacher
Computer Vision Engineer,"Node.js,C++,TensorFlow,Git","Git,React",7.3,Intermediate,Business Certification,Educational psychologist,"Git,Figma,React",Improve projects and quantify achievements,Finance,"Excel,C++","Creativity,Adaptability",12-19 LPA,"Embryologist, clinical"
Computer Vision Engineer,"Node.js,C++,TensorFlow,Git","Git,React",7.3,Intermediate,Business Certification,Educational psychologist,"Git,Figma,React",Improve projects and quantify achievements,Finance,"Excel,C++","Creativity,Adaptability",12-19 LPA,"Embryologist, clinical"
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Advanced,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Beginner,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Intermediate,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
Blockchain Developer,"Python,SQL,Java,MongoDB","Linux,Figma",8.2,Beginner,Use Certification,"Designer, jewellery","Figma,Excel,Node.js",Improve projects and quantify achievements,Healthcare,"Kubernetes,Figma","Problem Solving,Teamwork",7-18 LPA,Warehouse manager
Data Analyst,"AWS,Kubernetes,Node.js,MongoDB","TensorFlow,MongoDB",7.9,Advanced,Even Certification,Commercial art gallery manager,"Docker,Figma,Excel",Improve projects and quantify achievements,Healthcare,"SQL,Java","Creativity,Adaptability",9-15 LPA,Health promotion specialist
Software Engineer,"React,Node.js,AWS,Kubernetes","Figma,Java",6.4,Advanced,Program Certification,Commissioning editor,"AWS,Excel,Power BI",Improve projects and quantify achievements,AI,"Figma,Kubernetes","Creativity,Adaptability",11-16 LPA,"Teacher, English as a foreign language"
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Advanced,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
Software Engineer,"React,Node.js,AWS,Kubernetes","Figma,Java",6.4,Intermediate,Program Certification,Commissioning editor,"AWS,Excel,Power BI",Improve projects and quantify achievements,AI,"Figma,Kubernetes","Creativity,Adaptability",11-16 LPA,"Teacher, English as a foreign language"
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Intermediate,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
Game Developer,"MongoDB,Figma,Git,Python","C++,SQL",7.9,Beginner,Message Certification,Special educational needs teacher,"Git,MongoDB,Docker",Improve projects and quantify achievements,Technology,"AWS,Python","Leadership,Communication",7-17 LPA,Music tutor
Prompt Engineer,"Java,C++,Excel,Git","Power BI,AWS",6.6,Advanced,Push Certification,Printmaker,"AWS,Node.js,Excel",Improve projects and quantify achievements,Healthcare,"TensorFlow,Excel","Problem Solving,Teamwork",12-22 LPA,Private music teacher
Site Reliability Engineer,"Node.js,Linux,Excel,C++","MongoDB,Figma",7.6,Intermediate,Surface Certification,"Clinical scientist, histocompatibility and immunogenetics","TensorFlow,Excel,React",Improve projects and quantify achievements,Healthcare,"Excel,AWS","Creativity,Adaptability",8-19 LPA,Planning and development surveyor
AR VR Developer,"Excel,Java,Git,Python","React,Python",7.1,Intermediate,Evidence Certification,Actuary,"Excel,MongoDB,Power BI",Improve projects and quantify achievements,AI,"React,SQL","Creativity,Adaptability",8-16 LPA,"Lecturer, higher education"
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Intermediate,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
Data Analyst,"AWS,Kubernetes,Node.js,MongoDB","TensorFlow,MongoDB",7.9,Advanced,Even Certification,Commercial art gallery manager,"Docker,Figma,Excel",Improve projects and quantify achievements,Healthcare,"SQL,Java","Creativity,Adaptability",9-15 LPA,Health promotion specialist
Game Developer,"MongoDB,Figma,Git,Python","C++,SQL",7.9,Intermediate,Message Certification,Special educational needs teacher,"Git,MongoDB,Docker",Improve projects and quantify achievements,Technology,"AWS,Python","Leadership,Communication",7-17 LPA,Music tutor
Site Reliability Engineer,"Node.js,Linux,Excel,C++","MongoDB,Figma",7.6,Beginner,Surface Certification,"Clinical scientist, histocompatibility and immunogenetics","TensorFlow,Excel,React",Improve projects and quantify achievements,Healthcare,"Excel,AWS","Creativity,Adaptability",8-19 LPA,Planning and development surveyor
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Beginner,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Advanced,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
QA Engineer,"MongoDB,Kubernetes,TensorFlow,Power BI","C++,AWS",8.1,Intermediate,Just Certification,Aeronautical engineer,"Excel,React,Git",Improve projects and quantify achievements,Technology,"Linux,SQL","Creativity,Adaptability",11-20 LPA,Planning and development surveyor
Blockchain Developer,"Python,SQL,Java,MongoDB","Linux,Figma",8.2,Beginner,Use Certification,"Designer, jewellery","Figma,Excel,Node.js",Improve projects and quantify achievements,Healthcare,"Kubernetes,Figma","Problem Solving,Teamwork",7-18 LPA,Warehouse manager
Game Developer,"MongoDB,Figma,Git,Python","C++,SQL",7.9,Intermediate,Message Certification,Special educational needs teacher,"Git,MongoDB,Docker",Improve projects and quantify achievements,Technology,"AWS,Python","Leadership,Communication",7-17 LPA,Music tutor
Technical Writer,"Node.js,C++,MongoDB,Power BI","Java,Linux",7.3,Intermediate,Action Certification,Psychiatric nurse,"React,Java,Linux",Improve projects and quantify achievements,Healthcare,"TensorFlow,MongoDB","Leadership,Communication",8-18 LPA,Quarry manager
Mobile App Developer,"SQL,AWS,Linux,Docker","C++,Kubernetes",7.6,Advanced,Word Certification,Geoscientist,"Figma,Node.js,MongoDB",Improve projects and quantify achievements,Healthcare,"Node.js,Java","Problem Solving,Teamwork",12-19 LPA,Market researcher
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Intermediate,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Business Analyst,"MongoDB,Linux,Java,React","SQL,Linux",6.1,Advanced,Important Certification,"Engineer, biomedical","AWS,Git,Figma",Improve projects and quantify achievements,Cloud,"Excel,Kubernetes","Creativity,Adaptability",12-24 LPA,"Engineer, production"
IoT Engineer,"React,Node.js,Linux,SQL","TensorFlow,MongoDB",7,Beginner,Community Certification,Theme park manager,"React,Java,AWS",Improve projects and quantify achievements,Finance,"Node.js,Kubernetes","Leadership,Communication",7-19 LPA,Historic buildings inspector/conservation officer
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Beginner,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Advanced,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
Network Engineer,"AWS,Java,Docker,Node.js","Excel,Node.js",7.9,Beginner,Create Certification,Restaurant manager,"MongoDB,TensorFlow,Docker",Improve projects and quantify achievements,Cloud,"C++,TensorFlow","Creativity,Adaptability",6-25 LPA,Energy manager
Data Analyst,"AWS,Kubernetes,Node.js,MongoDB","TensorFlow,MongoDB",7.9,Advanced,Even Certification,Commercial art gallery manager,"Docker,Figma,Excel",Improve projects and quantify achievements,Healthcare,"SQL,Java","Creativity,Adaptability",9-15 LPA,Health promotion specialist
Robotics Engineer,"Node.js,Power BI,Excel,Python","Java,Docker",6.2,Intermediate,Health Certification,"Copywriter, advertising","Node.js,Docker,React",Improve projects and quantify achievements,Technology,"Figma,Python","Problem Solving,Teamwork",11-25 LPA,Oncologist
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Advanced,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
IoT Engineer,"React,Node.js,Linux,SQL","TensorFlow,MongoDB",7,Intermediate,Community Certification,Theme park manager,"React,Java,AWS",Improve projects and quantify achievements,Finance,"Node.js,Kubernetes","Leadership,Communication",7-19 LPA,Historic buildings inspector/conservation officer
Database Administrator,"TensorFlow,Docker,Excel,Power BI","Power BI,Docker",8,Beginner,Understand Certification,English as a foreign language teacher,"MongoDB,C++,Kubernetes",Improve projects and quantify achievements,AI,"Kubernetes,Git","Problem Solving,Teamwork",8-21 LPA,Contractor
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Advanced,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
